"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","INFRAINVEST","ROAD","EUR","A","2016",3383300870.5758,
"NOR","INFRAINVEST","ROAD","EUR","A","2017",3717706837.0388,
"NOR","INFRAINVEST","ROAD","EUR","A","2018",4060996187.7383,
"POL","INFRAINVEST","ROAD","EUR","A","2016",3075442295.3525,
"POL","INFRAINVEST","ROAD","EUR","A","2017",3209595188.3091,
"POL","INFRAINVEST","ROAD","EUR","A","2018",2668638219.969,
"POL","INFRAINVEST","ROAD","EUR","A","2019",2415357766.1431,
"SVK","INFRAINVEST","ROAD","EUR","A","2016",751418000,
"SVK","INFRAINVEST","ROAD","EUR","A","2017",749613000,
"SVK","INFRAINVEST","ROAD","EUR","A","2018",768840000,
"ESP","INFRAINVEST","ROAD","EUR","A","2016",3880000000,
"ESP","INFRAINVEST","ROAD","EUR","A","2017",3690000000,
"ESP","INFRAINVEST","ROAD","EUR","A","2018",3518000000,
"ESP","INFRAINVEST","ROAD","EUR","A","2019",3445000000,"P"
"SWE","INFRAINVEST","ROAD","EUR","A","2016",2086339294.2021,
"SWE","INFRAINVEST","ROAD","EUR","A","2017",2374415008.9759,
"SWE","INFRAINVEST","ROAD","EUR","A","2018",2497001959.6946,
"SWE","INFRAINVEST","ROAD","EUR","A","2019",2503424107.6067,
"CHE","INFRAINVEST","ROAD","EUR","A","2016",3968196208.0306,
"CHE","INFRAINVEST","ROAD","EUR","A","2017",3930182107.6613,
"CHE","INFRAINVEST","ROAD","EUR","A","2018",3816554652.7202,
"TUR","INFRAINVEST","ROAD","EUR","A","2016",7329613590.6659,
"TUR","INFRAINVEST","ROAD","EUR","A","2017",6138690736.1576,
"GBR","INFRAINVEST","ROAD","EUR","A","2016",8561410428.6238,
"GBR","INFRAINVEST","ROAD","EUR","A","2017",9082089705.5467,
"GBR","INFRAINVEST","ROAD","EUR","A","2018",8673206374.3219,
"GBR","INFRAINVEST","ROAD","EUR","A","2019",9642561267.5254,
"USA","INFRAINVEST","ROAD","EUR","A","2016",83589372853.786,
"USA","INFRAINVEST","ROAD","EUR","A","2017",84388559284.513,
"USA","INFRAINVEST","ROAD","EUR","A","2018",84976724502.751,
"USA","INFRAINVEST","ROAD","EUR","A","2019",93962129331.904,
"ALB","INFRAINVEST","ROAD","EUR","A","2016",89140343.978913,
"ALB","INFRAINVEST","ROAD","EUR","A","2017",159032879.76283,
"ALB","INFRAINVEST","ROAD","EUR","A","2018",169252490.37911,
"ALB","INFRAINVEST","ROAD","EUR","A","2019",175879110.96077,
"AZE","INFRAINVEST","ROAD","EUR","A","2016",498158118.44715,
"AZE","INFRAINVEST","ROAD","EUR","A","2017",557071513.15451,
"AZE","INFRAINVEST","ROAD","EUR","A","2018",695011450.76172,
"AZE","INFRAINVEST","ROAD","EUR","A","2019",844323017.91625,
"BGR","INFRAINVEST","ROAD","EUR","A","2016",163104611.92351,
"BGR","INFRAINVEST","ROAD","EUR","A","2017",115042437.87708,
"BGR","INFRAINVEST","ROAD","EUR","A","2018",882503323.44821,
"BGR","INFRAINVEST","ROAD","EUR","A","2019",528172614.78679,
"HRV","INFRAINVEST","ROAD","EUR","A","2016",197358816.11255,
"HRV","INFRAINVEST","ROAD","EUR","A","2017",196532876.05166,
"HRV","INFRAINVEST","ROAD","EUR","A","2018",285517854.97634,
"HRV","INFRAINVEST","ROAD","EUR","A","2019",354803051.9533,
"EST","INFRAINVEST","ROAD","EUR","A","2016",148600000,
"EST","INFRAINVEST","ROAD","EUR","A","2017",197000000,
"EST","INFRAINVEST","ROAD","EUR","A","2018",219000000,
"EST","INFRAINVEST","ROAD","EUR","A","2019",220000000,
"GEO","INFRAINVEST","ROAD","EUR","A","2016",202483164.53277,
"GEO","INFRAINVEST","ROAD","EUR","A","2017",308132147.39517,
"GEO","INFRAINVEST","ROAD","EUR","A","2018",402560502.74101,
"GEO","INFRAINVEST","ROAD","EUR","A","2019",442577208.44695,
"IND","INFRAINVEST","ROAD","EUR","A","2016",12461385188.78,
"LVA","INFRAINVEST","ROAD","EUR","A","2016",190000000,
"LVA","INFRAINVEST","ROAD","EUR","A","2017",226000000,
"LVA","INFRAINVEST","ROAD","EUR","A","2018",221400000,
"LVA","INFRAINVEST","ROAD","EUR","A","2019",223000000,
"LTU","INFRAINVEST","ROAD","EUR","A","2016",357000000,
"LTU","INFRAINVEST","ROAD","EUR","A","2017",345000000,
"LTU","INFRAINVEST","ROAD","EUR","A","2018",325000000,
"LTU","INFRAINVEST","ROAD","EUR","A","2019",352000000,
"MKD","INFRAINVEST","ROAD","EUR","A","2016",228634923.16035,
"MKD","INFRAINVEST","ROAD","EUR","A","2017",195062695.79749,
"MKD","INFRAINVEST","ROAD","EUR","A","2018",148267408.42016,
"MKD","INFRAINVEST","ROAD","EUR","A","2019",232269604.90226,
"MDA","INFRAINVEST","ROAD","EUR","A","2016",36290066.501547,
"MDA","INFRAINVEST","ROAD","EUR","A","2017",31283586.672808,
"MDA","INFRAINVEST","ROAD","EUR","A","2018",33658497.258949,
"MDA","INFRAINVEST","ROAD","EUR","A","2019",57360259.023376,
"ROU","INFRAINVEST","ROAD","EUR","A","2016",2366794335.0851,
"ROU","INFRAINVEST","ROAD","EUR","A","2017",2133648521.4612,
"ROU","INFRAINVEST","ROAD","EUR","A","2018",2181564245.8101,
"RUS","INFRAINVEST","ROAD","EUR","A","2016",7597091434.3929,
"RUS","INFRAINVEST","ROAD","EUR","A","2017",8200559986.0383,
"RUS","INFRAINVEST","ROAD","EUR","A","2018",7298221094.1326,
"RUS","INFRAINVEST","ROAD","EUR","A","2019",6710809666.165,
"SVN","INFRAINVEST","ROAD","EUR","A","2016",100000000,
"SVN","INFRAINVEST","ROAD","EUR","A","2017",120000000,
"SVN","INFRAINVEST","ROAD","EUR","A","2018",208000000,
"SVN","INFRAINVEST","ROAD","EUR","A","2019",204000000,
"SRB","INFRAINVEST","ROAD","EUR","A","2016",493838193.37081,
"SRB","INFRAINVEST","ROAD","EUR","A","2017",506622631.1548,
"SRB","INFRAINVEST","ROAD","EUR","A","2018",442540366.05775,
"SRB","INFRAINVEST","ROAD","EUR","A","2019",584390123.01253,"P"
"MNE","INFRAINVEST","ROAD","EUR","A","2016",16000000,
"MNE","INFRAINVEST","ROAD","EUR","A","2017",11000000,
"MNE","INFRAINVEST","ROAD","EUR","A","2018",27100000,
"MNE","INFRAINVEST","ROAD","EUR","A","2019",31400000,
"ISR","INFRAINVEST","ROAD","EUR","A","2016",1655724202.8474,
"ISR","INFRAINVEST","ROAD","EUR","A","2017",1969219404.0877,
"ISR","INFRAINVEST","ROAD","EUR","A","2018",1985562973.2726,
"ISR","INFRAINVEST","ROAD","EUR","A","2019",2161342853.5638,
"ARM","INFRAINVEST","ROAD","EUR","A","2016",90425116.729596,
"CHN","INFRAINVEST","ROAD","EUR","A","2016",448260886902.56,
"CHN","INFRAINVEST","ROAD","EUR","A","2017",528997012812,
"CHN","INFRAINVEST","ROAD","EUR","A","2018",558506434892.37,
"CHN","INFRAINVEST","ROAD","EUR","A","2019",614669905818.29,
"CHL","INFRAINVEST","ROAD","EUR","A","2016",1313592336.6056,
"CHL","INFRAINVEST","ROAD","EUR","A","2017",1313981017.7742,"P"
"CHL","INFRAINVEST","ROAD","EUR","A","2018",992386850.07672,"P"
"CHL","INFRAINVEST","ROAD","EUR","A","2019",1118729628.4477,"P"
"BLR","INFRAINVEST","ROAD","EUR","A","2016",872967571.98656,
"BLR","INFRAINVEST","ROAD","EUR","A","2017",960754682.41975,
"BLR","INFRAINVEST","ROAD","EUR","A","2018",1004655803.126,
"BLR","INFRAINVEST","ROAD","EUR","A","2019",1157793621.6539,
